Date,Open,High,Low,Close,Adj Close,Volume
1996-02-06,15.700000,15.700000,15.700000,15.700000,10.106366,0
1996-02-07,15.760000,15.760000,15.760000,15.760000,10.144990,0
1996-02-08,15.890000,15.890000,15.890000,15.890000,10.228677,0
1996-02-09,15.900000,15.900000,15.900000,15.900000,10.235114,0
1996-02-12,15.990000,15.990000,15.990000,15.990000,10.293048,0
1996-02-13,15.960000,15.960000,15.960000,15.960000,10.273733,0
1996-02-14,15.890000,15.890000,15.890000,15.890000,10.228677,0
1996-02-15,15.840000,15.840000,15.840000,15.840000,10.196486,0
1996-02-16,15.790000,15.790000,15.790000,15.790000,10.164300,0
1996-02-20,15.620000,15.620000,15.620000,15.620000,10.054868,0
1996-02-21,15.790000,15.790000,15.790000,15.790000,10.164300,0
1996-02-22,16.040001,16.040001,16.040001,16.040001,10.325232,0
1996-02-23,16.049999,16.049999,16.049999,16.049999,10.331666,0
1996-02-26,15.880000,15.880000,15.880000,15.880000,10.222235,0
1996-02-27,15.820000,15.820000,15.820000,15.820000,10.183617,0
1996-02-28,15.790000,15.790000,15.790000,15.790000,10.164300,0
1996-02-29,15.690000,15.690000,15.690000,15.690000,10.099928,0
1996-03-01,15.750000,15.750000,15.750000,15.750000,10.138551,0
1996-03-04,15.890000,15.890000,15.890000,15.890000,10.228677,0
1996-03-05,16.000000,16.000000,16.000000,16.000000,10.299483,0
1996-03-06,15.950000,15.950000,15.950000,15.950000,10.267297,0
1996-03-07,15.980000,15.980000,15.980000,15.980000,10.286606,0
1996-03-08,15.510000,15.510000,15.510000,15.510000,9.984057,0
1996-03-11,15.660000,15.660000,15.660000,15.660000,10.080619,0
1996-03-12,15.580000,15.580000,15.580000,15.580000,10.029120,0
1996-03-13,15.650000,15.650000,15.650000,15.650000,10.074180,0
1996-03-14,15.720000,15.720000,15.720000,15.720000,10.119243,0
1996-03-15,15.740000,15.740000,15.740000,15.740000,10.132119,0
1996-03-18,15.980000,15.980000,15.980000,15.980000,10.286606,0
1996-03-19,15.960000,15.960000,15.960000,15.960000,10.273733,0
1996-03-20,15.920000,15.920000,15.920000,15.920000,10.247983,0
1996-03-21,15.910000,15.910000,15.910000,15.910000,10.241543,0
1996-03-22,15.940000,15.940000,15.940000,15.940000,10.260860,0
1996-03-25,15.900000,15.900000,15.900000,15.900000,10.235114,0
1996-03-26,15.850000,15.850000,15.850000,15.850000,10.241570,0
